Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","129","Madagascar","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","3016827","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","130","Malawi","5510","Production","156","Sugar cane","2020","2020","tonnes","3058500","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","130","Malawi","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","3058500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","156","Sugar cane","2020","2020","tonnes","23383","","Official data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","23383","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","133","Mali","5510","Production","157","Sugar beet","2020","2020","tonnes","8223","","Official data"
"QCL","Crops and livestock products","133","Mali","5510","Production","156","Sugar cane","2020","2020","tonnes","355151","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","133","Mali","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","363374","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","134","Malta","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","134","Malta","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","137","Mauritius","5510","Production","156","Sugar cane","2020","2020","tonnes","2620874","","Official data"
"QCL","Crops and livestock products","137","Mauritius","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2620874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","138","Mexico","5510","Production","157","Sugar beet","2020","2020","tonnes","841","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","138","Mexico","5510","Production","156","Sugar cane","2020","2020","tonnes","53952698","","Official data"
"QCL","Crops and livestock products","138","Mexico","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","53953539","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","143","Morocco","5510","Production","157","Sugar beet","2020","2020","tonnes","3631554","","Official data"
"QCL","Crops and livestock products","143","Morocco","5510","Production","156","Sugar cane","2020","2020","tonnes","792492","","Official data"
"QCL","Crops and livestock products","143","Morocco","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","4424046","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","144","Mozambique","5510","Production","156","Sugar cane","2020","2020","tonnes","2737556","","Official data"
"QCL","Crops and livestock products","144","Mozambique","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2737556","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","156","Sugar cane","2020","2020","tonnes","11886485","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","161","Sugar crops nes","2020","2020","tonnes","449247","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","12335732","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","149","Nepal","5510","Production","156","Sugar cane","2020","2020","tonnes","3400176","","Official data"
"QCL","Crops and livestock products","149","Nepal","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","3400176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","150","Netherlands","5510","Production","157","Sugar beet","2020","2020","tonnes","6691360","","Official data"
"QCL","Crops and livestock products","150","Netherlands","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","6691360","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","157","Nicaragua","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","157","Nicaragua","5510","Production","156","Sugar cane","2020","2020","tonnes","8584531","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","157","Nicaragua","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","8584531","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","158","Niger","5510","Production","156","Sugar cane","2020","2020","tonnes","440814","","Official data"
"QCL","Crops and livestock products","158","Niger","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","440814","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","156","Sugar cane","2020","2020","tonnes","1517047","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1517047","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","154","North Macedonia","5510","Production","157","Sugar beet","2020","2020","tonnes","4222","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","154","North Macedonia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","4222","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","221","Oman","5510","Production","156","Sugar cane","2020","2020","tonnes","1497","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","221","Oman","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1497","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","157","Sugar beet","2020","2020","tonnes","17383","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","156","Sugar cane","2020","2020","tonnes","81009261","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","81026644","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","299","Palestine","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","299","Palestine","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","166","Panama","5510","Production","156","Sugar cane","2020","2020","tonnes","2779176","","Official data"
"QCL","Crops and livestock products","166","Panama","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2779176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","168","Papua New Guinea","5510","Production","156","Sugar cane","2020","2020","tonnes","351458","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","168","Papua New Guinea","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","351458","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","169","Paraguay","5510","Production","156","Sugar cane","2020","2020","tonnes","7430975","","Official data"
"QCL","Crops and livestock products","169","Paraguay","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","7430975","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","170","Peru","5510","Production","156","Sugar cane","2020","2020","tonnes","10468800","","Official data"
"QCL","Crops and livestock products","170","Peru","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","10468800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","171","Philippines","5510","Production","156","Sugar cane","2020","2020","tonnes","24398941","","Official data"
"QCL","Crops and livestock products","171","Philippines","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","24398941","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","173","Poland","5510","Production","157","Sugar beet","2020","2020","tonnes","14171540","","Official data"
"QCL","Crops and livestock products","173","Poland","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","14171540","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","174","Portugal","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","174","Portugal","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","177","Puerto Rico","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","177","Puerto Rico","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","146","Republic of Moldova","5510","Production","157","Sugar beet","2020","2020","tonnes","423235","","Official data"
"QCL","Crops and livestock products","146","Republic of Moldova","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","423235","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","183","Romania","5510","Production","157","Sugar beet","2020","2020","tonnes","778300","","Official data"
"QCL","Crops and livestock products","183","Romania","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","778300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","157","Sugar beet","2020","2020","tonnes","33915086","","Official data"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","33915086","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","184","Rwanda","5510","Production","156","Sugar cane","2020","2020","tonnes","111886","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","184","Rwanda","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","111886","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","188","Saint Kitts and Nevis","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","188","Saint Kitts and Nevis","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","189","Saint Lucia","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","189","Saint Lucia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","244","Samoa","5510","Production","156","Sugar cane","2020","2020","tonnes","12","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","244","Samoa","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","12","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","195","Senegal","5510","Production","156","Sugar cane","2020","2020","tonnes","1389150","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","195","Senegal","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1389150","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","272","Serbia","5510","Production","157","Sugar beet","2020","2020","tonnes","2018215","","Official data"
"QCL","Crops and livestock products","272","Serbia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2018215","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","197","Sierra Leone","5510","Production","156","Sugar cane","2020","2020","tonnes","80764","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","197","Sierra Leone","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","80764","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","200","Singapore","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","200","Singapore","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","199","Slovakia","5510","Production","157","Sugar beet","2020","2020","tonnes","1272970","","Official data"
"QCL","Crops and livestock products","199","Slovakia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1272970","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","198","Slovenia","5510","Production","157","Sugar beet","2020","2020","tonnes","7430","","Official data"
"QCL","Crops and livestock products","198","Slovenia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","7430","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","201","Somalia","5510","Production","156","Sugar cane","2020","2020","tonnes","228000","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","201","Somalia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","228000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","202","South Africa","5510","Production","156","Sugar cane","2020","2020","tonnes","18220000","","Official data"
"QCL","Crops and livestock products","202","South Africa","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","18220000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","277","South Sudan","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","277","South Sudan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","203","Spain","5510","Production","157","Sugar beet","2020","2020","tonnes","2432840","","Official data"
"QCL","Crops and livestock products","203","Spain","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2432840","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","38","Sri Lanka","5510","Production","156","Sugar cane","2020","2020","tonnes","855045","","Official data"
"QCL","Crops and livestock products","38","Sri Lanka","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","855045","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","276","Sudan","5510","Production","156","Sugar cane","2020","2020","tonnes","5192477","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","276","Sudan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","5192477","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","207","Suriname","5510","Production","156","Sugar cane","2020","2020","tonnes","124224","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","207","Suriname","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","124224","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","210","Sweden","5510","Production","157","Sugar beet","2020","2020","tonnes","2027100","","Official data"
"QCL","Crops and livestock products","210","Sweden","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2027100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","211","Switzerland","5510","Production","157","Sugar beet","2020","2020","tonnes","1423529","","Official data"
"QCL","Crops and livestock products","211","Switzerland","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1423529","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","212","Syrian Arab Republic","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","212","Syrian Arab Republic","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","212","Syrian Arab Republic","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","216","Thailand","5510","Production","156","Sugar cane","2020","2020","tonnes","74968070","","Official data"
"QCL","Crops and livestock products","216","Thailand","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","74968070","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","222","Tunisia","5510","Production","157","Sugar beet","2020","2020","tonnes","86100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","222","Tunisia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","86100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","223","Turkey","5510","Production","157","Sugar beet","2020","2020","tonnes","23025738","","Official data"
"QCL","Crops and livestock products","223","Turkey","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","23025738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","213","Turkmenistan","5510","Production","157","Sugar beet","2020","2020","tonnes","194789","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","213","Turkmenistan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","194789","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","226","Uganda","5510","Production","156","Sugar cane","2020","2020","tonnes","5778187","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","226","Uganda","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","5778187","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","230","Ukraine","5510","Production","157","Sugar beet","2020","2020","tonnes","9150180","","Official data"
"QCL","Crops and livestock products","230","Ukraine","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","230","Ukraine","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","9150180","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5510","Production","157","Sugar beet","2020","2020","tonnes","5980000","","Official data"
"QCL","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","5980000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","156","Sugar cane","2020","2020","tonnes","3619570","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","3619570","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","157","Sugar beet","2020","2020","tonnes","30497740","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","156","Sugar cane","2020","2020","tonnes","32749379","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","63247119","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","234","Uruguay","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","234","Uruguay","5510","Production","156","Sugar cane","2020","2020","tonnes","390169","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","234","Uruguay","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","390169","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","235","Uzbekistan","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","235","Uzbekistan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5510","Production","157","Sugar beet","2020","2020","tonnes","23096","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5510","Production","156","Sugar cane","2020","2020","tonnes","2619188","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2642284","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2020","2020","tonnes","11534539","","Official data"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","11534539","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","249","Yemen","5510","Production","156","Sugar cane","2020","2020","tonnes","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","249","Yemen","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","251","Zambia","5510","Production","156","Sugar cane","2020","2020","tonnes","4827104","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","251","Zambia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","4827104","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","181","Zimbabwe","5510","Production","156","Sugar cane","2020","2020","tonnes","3589936","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","181","Zimbabwe","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","3589936","A","Aggregate, may include official, semi-official, estimated or calculated data"
